sale_date,day_of_week,product_id,product_name,category,units_sold,is_weekend
2024-01-01,Monday,1,Fresh Third,Dairy,11,False
2024-01-01,Monday,2,Organic Skin,Meat,15,False
2024-01-01,Monday,3,Organic Your,Frozen,8,False
2024-01-01,Monday,4,Fresh Particularly,Frozen,23,False
2024-01-01,Monday,5,Classic South,Dairy,28,False
2024-01-01,Monday,6,Premium Project,Dairy,20,False
2024-01-01,Monday,7,Fresh Wait,Frozen,28,False
2024-01-01,Monday,8,Fresh Drug,Produce,33,False
2024-01-01,Monday,9,Organic With,Frozen,28,False
2024-01-01,Monday,10,Classic Ago,Beverages,32,False
2024-01-01,Monday,11,Organic Lot,Dairy,19,False
2024-01-01,Monday,12,Classic Republican,Bakery,29,False
2024-01-01,Monday,13,Organic Least,Dairy,11,False
2024-01-01,Monday,14,Organic Money,Bakery,21,False
2024-01-01,Monday,15,Classic Hundred,Bakery,27,False
2024-01-01,Monday,16,Fresh Rich,Produce,37,False
2024-01-01,Monday,17,Premium Baby,Frozen,36,False
2024-01-01,Monday,18,Classic Happy,Meat,28,False
2024-01-01,Monday,19,Premium Two,Meat,14,False
2024-01-01,Monday,20,Organic Without,Frozen,19,False
2024-01-01,Monday,21,Fresh Against,Meat,8,False
2024-01-01,Monday,22,Premium Simple,Beverages,22,False
2024-01-01,Monday,23,Premium Area,Meat,29,False
2024-01-01,Monday,24,Fresh Air,Beverages,35,False
2024-01-01,Monday,25,Classic We,Meat,35,False
2024-01-01,Monday,26,Classic Outside,Frozen,24,False
2024-01-01,Monday,27,Classic Support,Beverages,6,False
2024-01-01,Monday,28,Premium Represent,Produce,38,False
2024-01-01,Monday,29,Fresh Get,Meat,14,False
2024-01-01,Monday,30,Premium Finish,Meat,42,False
2024-01-01,Monday,31,Premium Machine,Dairy,16,False
2024-01-01,Monday,32,Fresh Rest,Beverages,17,False
2024-01-01,Monday,33,Fresh Economic,Frozen,26,False
2024-01-01,Monday,34,Organic Summer,Frozen,31,False
2024-01-01,Monday,35,Organic Thus,Meat,42,False
2024-01-01,Monday,36,Premium Wrong,Bakery,19,False
2024-01-01,Monday,37,Premium Cause,Dairy,26,False
2024-01-01,Monday,38,Classic Easy,Beverages,38,False
2024-01-01,Monday,39,Fresh Local,Frozen,19,False
2024-01-01,Monday,40,Fresh Customer,Dairy,25,False
2024-01-01,Monday,41,Classic Century,Dairy,25,False
2024-01-01,Monday,42,Fresh Situation,Frozen,7,False
2024-01-01,Monday,43,Fresh Quickly,Beverages,41,False
2024-01-01,Monday,44,Premium Cause,Dairy,9,False
2024-01-01,Monday,45,Organic Leave,Produce,11,False
2024-01-01,Monday,46,Organic Strong,Bakery,18,False
2024-01-01,Monday,47,Fresh Strong,Produce,19,False
2024-01-01,Monday,48,Fresh Newspaper,Produce,11,False
2024-01-01,Monday,49,Fresh Carry,Dairy,8,False
2024-01-01,Monday,50,Premium Catch,Meat,11,False
2024-01-02,Tuesday,1,Fresh Third,Dairy,11,False
2024-01-02,Tuesday,2,Organic Skin,Meat,16,False
2024-01-02,Tuesday,3,Organic Your,Frozen,7,False
2024-01-02,Tuesday,4,Fresh Particularly,Frozen,24,False
2024-01-02,Tuesday,5,Classic South,Dairy,30,False
2024-01-02,Tuesday,6,Premium Project,Dairy,24,False
2024-01-02,Tuesday,7,Fresh Wait,Frozen,24,False
2024-01-02,Tuesday,8,Fresh Drug,Produce,32,False
2024-01-02,Tuesday,9,Organic With,Frozen,29,False
2024-01-02,Tuesday,10,Classic Ago,Beverages,32,False
2024-01-02,Tuesday,11,Organic Lot,Dairy,18,False
2024-01-02,Tuesday,12,Classic Republican,Bakery,33,False
2024-01-02,Tuesday,13,Organic Least,Dairy,14,False
2024-01-02,Tuesday,14,Organic Money,Bakery,15,False
2024-01-02,Tuesday,15,Classic Hundred,Bakery,26,False
2024-01-02,Tuesday,16,Fresh Rich,Produce,32,False
2024-01-02,Tuesday,17,Premium Baby,Frozen,27,False
2024-01-02,Tuesday,18,Classic Happy,Meat,48,False
2024-01-02,Tuesday,19,Premium Two,Meat,13,False
2024-01-02,Tuesday,20,Organic Without,Frozen,20,False
2024-01-02,Tuesday,21,Fresh Against,Meat,10,False
2024-01-02,Tuesday,22,Premium Simple,Beverages,23,False
2024-01-02,Tuesday,23,Premium Area,Meat,33,False
2024-01-02,Tuesday,24,Fresh Air,Beverages,50,False
2024-01-02,Tuesday,25,Classic We,Meat,30,False
2024-01-02,Tuesday,26,Classic Outside,Frozen,19,False
2024-01-02,Tuesday,27,Classic Support,Beverages,4,False
2024-01-02,Tuesday,28,Premium Represent,Produce,37,False
